lang,severity,f1,em,chrf,bleu
de,Major,0.6190476190476191,0.3333333333333333,67.58098525549546,50.271091605153835
de,Major,0.6190476190476191,0.3333333333333333,67.58098525549546,50.271091605153835
de,Major,0.7999999999999999,0.6666666666666666,85.98291624113368,71.14842452511103
de,Major,0.7999999999999999,0.6666666666666666,85.98291624113368,71.14842452511103
de,Minor,0.6428571428571428,0.5,65.11350116533075,52.76119889176976
de,Minor,0.4956140350877193,0.25,27.474076822756775,12.103118794489975
de,Major,0.4956140350877193,0.25,27.474076822756775,12.103118794489975
de,Major,0.4956140350877193,0.25,27.474076822756775,12.103118794489975
de,Major,0.4956140350877193,0.25,27.474076822756775,12.103118794489975
de,Minor,0.6428571428571428,0.5,65.11350116533075,52.76119889176976
de,Neutral,0.5,0.5,51.68653687229595,50.00000000000002
de,Major,0.5,0.5,51.68653687229595,50.00000000000002
de,Neutral,0.5,0.5,51.68653687229595,50.00000000000002
de,Minor,0.5,0.5,51.68653687229595,50.00000000000002
de,Major,0.5,0.5,51.68653687229595,50.00000000000002
de,Major,0.5,0.5,51.68653687229595,50.00000000000002
de,Minor,0.6428571428571428,0.5,65.11350116533075,52.76119889176976
